sound,description,anterior,approximant,atr,back,breathy,centralized,click,consonantal,constricted,continuant,coronal,creaky,distributed,dorsal,glottal,high,labial,laminal,lateral,length,low,nasal,pharyngeal,preaspirated,preglottalized,prenasal,retracted,rhotacized,round,sibilant,sonorant,spread,strident,syllabic,tense,tone_contour,tone_end,tone_level,tone_peak,tone_start,trilled,vibrant,voice
a̟,atr=1 back=-1 consonantal=-1 low=1 round=-1 syllabic=1 tense=1,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
a̟ː,atr=1 back=-1 consonantal=-1 length=1 low=1 round=-1 syllabic=1 tense=1,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
a̤ːː,back=-1 breathy=1 consonantal=-1 length=2 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ḁ,back=-1 consonantal=-1 low=1 round=-1 syllabic=1 tense=1 voice=-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1
a̯,back=-1 consonantal=-1 low=1 round=-1 syllabic=-1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
a̰,back=-1 consonantal=-1 creaky=1 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
a̰ːː,back=-1 consonantal=-1 creaky=1 length=2 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
b,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bd,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bg,anterior=1 consonantal=1 continuant=-1 dorsal=1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bv,consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
bʰ,anterior=1 consonantal=1 continuant=-1 labial=1 spread=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1
bʰː,anterior=1 consonantal=1 continuant=-1 labial=1 length=1 spread=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1
bʱ,anterior=1 breathy=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bʱː,anterior=1 breathy=1 consonantal=1 continuant=-1 labial=1 length=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bʲ,anterior=1 atr=1 consonantal=1 continuant=-1 dorsal=1 labial=1 syllabic=-1 voice=1,1,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bʷ,consonantal=1 continuant=-1 labial=1 round=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bʷː,consonantal=1 continuant=-1 labial=1 length=1 round=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bː,anterior=1 consonantal=1 continuant=-1 labial=1 length=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bːʰ,anterior=1 consonantal=1 continuant=-1 labial=1 length=1 spread=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1
bːʱ,anterior=1 breathy=1 consonantal=1 continuant=-1 labial=1 length=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bːʷ,consonantal=1 continuant=-1 labial=1 length=1 round=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bːˤ,anterior=1 atr=-1 consonantal=1 continuant=-1 labial=1 length=1 pharyngeal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bˠ,anterior=1 atr=-1 consonantal=1 continuant=-1 dorsal=1 labial=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bˤː,anterior=1 atr=-1 consonantal=1 continuant=-1 labial=1 length=1 pharyngeal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
b̚,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
b̡,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
b̤,anterior=1 breathy=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
b̥,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
b̥ʰ,anterior=1 consonantal=1 continuant=-1 labial=1 spread=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
b̪,consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
bβ,anterior=1 consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
bᵛ,consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
bᵝ,anterior=1 consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
bⁿ,anterior=1 consonantal=1 continuant=-1 labial=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
c,consonantal=1 continuant=-1 coronal=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
cç,consonantal=1 continuant=-1 coronal=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
cçʰ,consonantal=1 continuant=-1 coronal=1 spread=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1
cʰ,consonantal=1 continuant=-1 coronal=1 spread=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
cʼ,consonantal=1 constricted=1 continuant=-1 coronal=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
cː,consonantal=1 continuant=-1 coronal=1 length=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
ç,consonantal=1 continuant=1 coronal=1 sibilant=1 sonorant=-1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1
d,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
db,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dg,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 dorsal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dz,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 sibilant=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dzː,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dz̪,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=1 sibilant=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dz̪ː,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dz̫,anterior=1 atr=-1 consonantal=1 continuant=-1 coronal=1 distributed=-1 sibilant=1 strident=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dð,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
dð̠,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
dð͇,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
dɮ,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 lateral=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
dɹ̠˔,consonantal=1 continuant=-1 coronal=1 distributed=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʐ,consonantal=1 continuant=-1 coronal=1 distributed=-1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʐː,consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʑ,consonantal=1 continuant=-1 coronal=1 dorsal=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʑː,consonantal=1 continuant=-1 coronal=1 dorsal=1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʒ,consonantal=1 continuant=-1 coronal=1 distributed=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʒʱ,breathy=1 consonantal=1 continuant=-1 coronal=1 distributed=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,1,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʒʲ,atr=1 consonantal=1 continuant=-1 distributed=1 dorsal=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,1,0,0,0,0,1,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʒʷ,consonantal=1 continuant=-1 coronal=1 distributed=1 round=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʒː,consonantal=1 continuant=-1 coronal=1 distributed=1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dʒ̊,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 strident=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
dʰ,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 spread=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1
dʰː,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 spread=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1
dʱ,anterior=1 breathy=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dʱː,anterior=1 breathy=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dʲ,atr=1 consonantal=1 continuant=-1 distributed=-1 dorsal=1 syllabic=-1 voice=1,0,0,1,0,0,0,0,1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dː,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dːz,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dːʐ,consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dːʑ,consonantal=1 continuant=-1 coronal=1 dorsal=1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
dːʰ,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 spread=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1
dːʱ,anterior=1 breathy=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 length=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
dˤ,anterior=1 atr=-1 consonantal=1 continuant=-1 coronal=1 distributed=-1 pharyngeal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
d̂,consonantal=1 continuant=-1 coronal=1 dorsal=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
d̙,anterior=1 atr=-1 consonantal=1 continuant=-1 coronal=1 distributed=-1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
d̠,consonantal=1 continuant=-1 coronal=1 distributed=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
d̠ʒ,consonantal=1 continuant=-1 coronal=1 distributed=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
d̠ʒʷ,consonantal=1 continuant=-1 coronal=1 distributed=1 round=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
d̠ʒː,consonantal=1 continuant=-1 coronal=1 distributed=1 length=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
d̠ʒ̤,breathy=1 consonantal=1 continuant=-1 coronal=1 distributed=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,0,0,1,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
d̠ʒ̫,atr=-1 consonantal=1 continuant=-1 coronal=1 distributed=1 sibilant=1 strident=1 syllabic=-1 voice=1,0,0,-1,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
d̤,anterior=1 breathy=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
